City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,weligama,5.9667,80.4167,27.32,80,27,0.94,LK,1681956488
318,mukalla,14.5425,49.1242,26.05,73,0,1.18,YE,1681956488
319,onega,63.9061,38.1404,0.55,99,100,2.68,RU,1681956489
320,ashkasham,36.6833,71.5333,-5.51,86,91,0.21,AF,1681956489
321,paciran,-6.8767,112.3761,28.55,75,93,1.59,ID,1681956489
322,mersa matruh,31.3525,27.2453,15.74,70,0,5.55,EG,1681956489
323,leninskoye,41.7589,69.3864,8.73,63,0,1.21,KZ,1681956490
324,hammerfest,70.6634,23.6821,4.25,100,75,6.69,NO,1681956490
325,vetovo,43.7,26.2667,8.07,92,62,4.33,BG,1681956491
326,nikolayevsk-on-amure,53.1406,140.73,4.11,59,72,2.9,RU,1681956491
327,orsa,54.5153,30.4053,6.05,73,22,4.65,BY,1681956491
328,quellon,-43.1167,-73.6167,12.14,100,100,0.0,CL,1681956491
329,padang,-0.9492,100.3543,26.03,72,100,0.19,ID,1681956492
330,jatoi shimali,29.5165,70.8503,24.4,54,1,6.02,PK,1681956492
331,garden city,42.3256,-83.331,10.01,65,75,6.17,US,1681956480
332,bac lieu,9.285,105.7244,30.65,64,100,4.14,VN,1681956493
333,syumsi,57.1111,51.6149,5.81,83,100,1.74,RU,1681956494
334,port douglas,-16.4833,145.4667,27.48,70,98,5.7,AU,1681956456
335,kenora,49.8167,-94.4337,4.32,29,100,7.15,CA,1681956494
336,arraial do cabo,-22.9661,-42.0278,23.81,82,100,4.42,BR,1681956358
337,sumpong,8.1633,125.1183,29.16,60,51,1.12,PH,1681956495
338,pathein,16.7833,94.7333,31.63,57,10,4.06,MM,1681956495
339,al ghayzah,16.2079,52.176,26.61,70,0,3.05,YE,1681956495
340,mytilene,39.11,26.5547,10.12,80,14,1.74,GR,1681956495
341,kedrovyy,56.1667,91.8167,-5.63,81,100,4.66,RU,1681956496
342,coquimbo,-29.9533,-71.3436,12.85,100,0,3.6,CL,1681956212
343,ozernyy,55.5802,32.4127,4.75,74,39,2.61,RU,1681956496
344,unai,-16.3575,-46.9061,22.21,84,77,1.52,BR,1681956496
345,glace bay,46.1969,-59.957,5.5,92,75,4.02,CA,1681956262
346,huarmey,-10.0681,-78.1522,24.71,82,56,3.67,PE,1681956497
347,bogale,16.2833,95.4,31.31,57,11,3.89,MM,1681956497
348,ponta delgada,37.7333,-25.6667,12.4,71,20,4.12,PT,1681956497
349,fauske,67.2588,15.3918,8.21,99,100,2.53,NO,1681956497
350,lamu,-2.2717,40.902,27.12,86,22,3.64,KE,1681956498
351,kone,-21.0595,164.8658,28.9,61,1,2.29,NC,1681956285
352,usagara,-2.6833,33.0,17.47,88,53,3.79,TZ,1681956498
353,island harbour,50.724,-1.2758,7.77,83,14,3.13,GB,1681956498
354,sao vicente,-23.9631,-46.3919,24.04,26,20,3.61,BR,1681956498
355,dwarka,22.2394,68.9678,26.8,71,68,5.69,IN,1681956499
356,cannonvale,-20.2833,148.7,25.66,61,53,8.23,AU,1681956499
357,champasak,14.75,106.0,32.33,57,24,1.84,LA,1681956499
358,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,53,75,7.0,RU,1681956220
359,luwuk,-0.9516,122.7875,29.97,70,46,1.27,ID,1681956500
360,murbad,19.25,73.4,30.14,35,30,0.77,IN,1681956500
361,la leonesa,-27.0379,-58.7035,16.2,58,0,2.42,AR,1681956500
362,roma,43.2128,-75.4557,2.07,83,0,0.0,US,1681956255
